Associate,Team,Quality,Pieces per Hour
Michella,Stacie,0.97,48
Ashlee,Jason,0.90,48
Annette,Kim,0.98,40
Kendra,Kim,0.80,44
Heather,Stacie,0.84,45
Cami,Stacie,0.86,39
Adam,Jason,0.88,40
Sunny,Stacie,0.83,45
Cami,Kim,0.91,46
Sam,Stacie,1.00,40
Matt,Stacie,0.83,45
Candis,Kim,0.89,38
Clint,Stacie,0.97,42
Tichelle,Stacie,0.89,43
Heather,Kim,0.88,44
Melanie,Jason,0.88,45
Kim,Kim,0.95,47
Jessica,Jason,0.90,47
Melissa,Jason,0.98,39
Don,Kim,0.99,44
Kristin,Stacie,0.88,48
Craig,Stacie,0.97,38
Merissa,Stacie,0.91,42
Jade,Jason,0.87,40
Todd,Kim,0.95,45
Danielle,Jason,0.89,39
Gile,Jason,0.87,44
Lois,Jason,0.84,48
April,Jason,0.81,40
Bonnie,Jason,0.83,40
Shana,Kim,0.85,41
Tiffany,Jason,0.98,39
Jen,Jason,0.95,41
Vanessa,Stacie,0.92,43
Valerie,Kim,0.99,39
